[03/Feb/2026:11:58:47 +0000] - 200 200 - GET http vault.local "/app/polyfills.eaa824f1d17b38ec6a59.js" [Client 172.19.0.1] [Length 240596] [Gzip -] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "http://vault.local/"
[03/Feb/2026:11:58:47 +0000] - 200 200 - GET http vault.local "/app/vendor.eb76fcc11cc241b29c7a.js" [Client 172.19.0.1] [Length 2650191] [Gzip -] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "http://vault.local/"
[03/Feb/2026:11:58:47 +0000] - 200 200 - GET http vault.local "/app/main.68a82fe82ef22fa1a660.js" [Client 172.19.0.1] [Length 3656822] [Gzip -] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "http://vault.local/"
[03/Feb/2026:11:58:48 +0000] - 200 200 - GET http vault.local "/images/logo-white.svg" [Client 172.19.0.1] [Length 5093] [Gzip -] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "http://vault.local/styles.f5ed5f8f9da818a932a3.css"
[03/Feb/2026:11:58:48 +0000] - 200 200 - GET http vault.local "/fonts/bwi-font.0ee50304b93ab65e19a0.ttf" [Client 172.19.0.1] [Length 25428] [Gzip -] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "http://vault.local/styles.f5ed5f8f9da818a932a3.css"
[03/Feb/2026:11:58:48 +0000] - 200 200 - GET http vault.local "/fonts/inter.c504db5c06caaf7cdfba.woff2" [Client 172.19.0.1] [Length 352240] [Gzip -] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "http://vault.local/styles.f5ed5f8f9da818a932a3.css"
[03/Feb/2026:11:58:48 +0000] - 200 200 - GET http vault.local "/images/favicon-32x32.png" [Client 172.19.0.1] [Length 886] [Gzip -] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "http://vault.local/"
[03/Feb/2026:20:47:20 +0000] - 200 200 - GET http vault.local "/" [Client 172.19.0.1] [Length 9343] [Gzip 2.48] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "-"
[03/Feb/2026:20:47:20 +0000] - 200 200 - GET http vault.local "/images/logo.svg" [Client 172.19.0.1] [Length 5081] [Gzip -] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "http://vault.local/styles.f5ed5f8f9da818a932a3.css"
[03/Feb/2026:20:50:16 +0000] - 200 200 - GET http vault.local "/" [Client 172.19.0.1] [Length 9343] [Gzip 2.48] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "-"
[03/Feb/2026:20:50:47 +0000] - 200 200 - GET http vault.local "/" [Client 172.19.0.1] [Length 9343] [Gzip 2.48] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "-"
[03/Feb/2026:20:50:48 +0000] - 200 200 - GET http vault.local "/theme_head.6991036cc6ce1ab5eee1.js" [Client 172.19.0.1] [Length 488] [Gzip -] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "http://vault.local/"
[03/Feb/2026:20:50:48 +0000] - 200 200 - GET http vault.local "/styles.f5ed5f8f9da818a932a3.css" [Client 172.19.0.1] [Length 201216] [Gzip -] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "http://vault.local/"
[03/Feb/2026:20:50:48 +0000] - 200 200 - GET http vault.local "/css/vaultwarden.css" [Client 172.19.0.1] [Length 1002] [Gzip -] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "http://vault.local/"
[03/Feb/2026:20:50:48 +0000] - 200 200 - GET http vault.local "/app/polyfills.eaa824f1d17b38ec6a59.js" [Client 172.19.0.1] [Length 240596] [Gzip -] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "http://vault.local/"
[03/Feb/2026:20:50:48 +0000] - 200 200 - GET http vault.local "/styles.31d6cfe0d16ae931b73c.js" [Client 172.19.0.1] [Length 0] [Gzip -] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "http://vault.local/"
[03/Feb/2026:20:50:48 +0000] - 200 200 - GET http vault.local "/app/vendor.eb76fcc11cc241b29c7a.js" [Client 172.19.0.1] [Length 2650191] [Gzip -] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "http://vault.local/"
[03/Feb/2026:20:50:48 +0000] - 200 200 - GET http vault.local "/app/main.68a82fe82ef22fa1a660.js" [Client 172.19.0.1] [Length 3656822] [Gzip -] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "http://vault.local/"
[03/Feb/2026:20:50:49 +0000] - 200 200 - GET http vault.local "/images/logo-white.svg" [Client 172.19.0.1] [Length 5093] [Gzip -] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "http://vault.local/styles.f5ed5f8f9da818a932a3.css"
[03/Feb/2026:20:50:49 +0000] - 200 200 - GET http vault.local "/fonts/bwi-font.0ee50304b93ab65e19a0.ttf" [Client 172.19.0.1] [Length 25428] [Gzip -] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "http://vault.local/styles.f5ed5f8f9da818a932a3.css"
[03/Feb/2026:20:50:49 +0000] - 200 200 - GET http vault.local "/fonts/inter.c504db5c06caaf7cdfba.woff2" [Client 172.19.0.1] [Length 352240] [Gzip -] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "http://vault.local/styles.f5ed5f8f9da818a932a3.css"
[03/Feb/2026:20:50:49 +0000] - 200 200 - GET http vault.local "/images/favicon-32x32.png" [Client 172.19.0.1] [Length 886] [Gzip -] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "http://vault.local/"
[03/Feb/2026:20:50:58 +0000] - 200 200 - GET http vault.local "/" [Client 172.19.0.1] [Length 9343] [Gzip 2.48] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "-"
[03/Feb/2026:20:51:06 +0000] - 200 200 - GET http vault.local "/images/logo.svg" [Client 172.19.0.1] [Length 5081] [Gzip -] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "http://vault.local/styles.f5ed5f8f9da818a932a3.css"
[03/Feb/2026:20:54:04 +0000] - 200 200 - GET http vault.local "/" [Client 172.19.0.1] [Length 9343] [Gzip 2.48] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "-"
[03/Feb/2026:20:54:07 +0000] - 200 200 - GET http vault.local "/" [Client 172.19.0.1] [Length 9343] [Gzip 2.48] [Sent-to vaultwarden] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "-"
[03/Feb/2026:20:59:02 +0000] - 422 422 - POST http vault.local "/api/accounts/register" [Client 172.19.0.1] [Length 496] [Gzip -] [Sent-to vaultwarden] "curl/8.5.0" "-"
